Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1724775205,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1724775206,5,,Aggregated,0.000000,0.000000,480,490,490,530,530,530,530,530,530,530,530,5,0,480.0,418.91372001264244,152.54209993872792,530.0337000517175,72.8
1724775207,15,,Aggregated,0.000000,0.000000,470,490,500,500,500,530,530,530,530,530,530,11,0,470.0,397.304463644766,30.88550001848489,530.0337000517175,81.0
1724775208,20,,Aggregated,0.000000,0.000000,440,470,480,490,500,530,530,530,530,530,530,18,0,440.0,384.3268222214344,30.88550001848489,530.0337000517175,69.72222222222223
1724775209,25,,Aggregated,5.500000,0.000000,390,440,470,470,500,500,530,530,530,530,530,27,0,390.0,344.7045259203555,30.88550001848489,530.0337000517175,89.74074074074075
1724775210,30,,Aggregated,6.000000,0.000000,380,400,440,450,480,500,530,530,530,530,530,42,0,380.0,315.6551857162932,21.116800024174154,530.0337000517175,102.64285714285714
1724775211,35,,Aggregated,6.500000,0.000000,370,390,420,440,470,500,500,530,530,530,530,53,0,370.0,316.9992849085796,21.116800024174154,530.0337000517175,101.11320754716981
1724775212,40,,Aggregated,8.000000,0.000000,350,380,400,420,460,490,500,530,530,530,530,74,0,350.0,311.6612486538125,21.116800024174154,530.0337000517175,102.95945945945945
1724775213,45,,Aggregated,8.666667,0.000000,350,370,390,400,450,480,500,530,530,530,530,93,0,350.0,310.85348602569593,21.116800024174154,530.0337000517175,98.84946236559139
1724775214,50,,Aggregated,10.285714,0.000000,350,370,390,400,450,470,500,500,530,530,530,114,0,350.0,320.5272403531381,21.116800024174154,530.0337000517175,92.84210526315789
1724775215,55,,Aggregated,11.375000,0.000000,350,370,390,400,450,470,500,500,530,530,530,138,0,340.0,314.34322174037874,21.116800024174154,530.0337000517175,98.42028985507247
1724775216,60,,Aggregated,12.333333,0.000000,350,360,380,390,440,460,500,500,530,530,530,162,0,340.0,312.27369568192825,21.116800024174154,530.0337000517175,95.32098765432099
1724775217,65,,Aggregated,13.600000,0.000000,340,360,380,390,450,470,500,510,530,530,530,187,0,340.0,310.21449893257295,21.116800024174154,530.0337000517175,96.36898395721926
1724775218,70,,Aggregated,15.400000,0.000000,340,360,370,390,450,470,500,500,530,530,530,221,0,340.0,314.8291651623079,21.116800024174154,530.0337000517175,91.84615384615384
1724775219,75,,Aggregated,17.000000,0.000000,340,360,370,380,440,470,500,510,730,730,730,253,0,340.0,310.77888972777504,21.116800024174154,731.4668000908569,93.71541501976284
1724775220,80,,Aggregated,20.000000,0.000000,340,350,370,380,440,460,500,510,730,730,730,281,0,340.0,309.6595284751918,21.116800024174154,731.4668000908569,94.32384341637011
1724775221,85,,Aggregated,22.200000,0.000000,340,350,370,380,420,460,500,510,730,730,730,322,0,340.0,302.57299193144945,18.858099938370287,731.4668000908569,99.3167701863354
1724775222,90,,Aggregated,23.300000,0.000000,340,350,370,380,420,460,500,530,730,730,730,364,0,340.0,301.87531950938575,18.131099990569055,731.4668000908569,99.06593406593407
1724775223,95,,Aggregated,26.500000,0.000000,340,350,370,370,410,460,500,530,730,730,730,401,0,340.0,299.9954117241982,17.24880002439022,731.4668000908569,101.28678304239402
1724775224,100,,Aggregated,28.400000,0.000000,340,350,360,370,400,460,500,530,730,730,730,446,0,340.0,297.49038296275575,17.218700028024614,731.4668000908569,102.03363228699551
